STS	NMB	LNK	SYM	STY	MKT	EFT	SDE	PRC	SIZ	TRM	OPD	HDI	VER	DCV	TPA	TGP	BOK	ODT	IND	TRD	RGR	STD	STT	CLR	BRK	MBR	ACC	ACT	TOB	TOU	GRS	BNK	BKA	UTY	UTI	UUI	UWS	REF	CSQ	MKP	SSL	PRT	IAC	OQY	CQY	LQY	APX	LPX	OST	CLI	OCL	TXT	ROL	OSQ	IWF	IAL	EWF	EAL	DEA
1	36517730	0	ATPA	SHARE	XRS1	2018-09-10 16:31:58.165	2	4.200000	2088	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-10 16:31:58.166	UK8GW3	192.168.252.2		136134	0	0	3	1027170	2088	0	0	0.000000	0.000000	0				0	229787218	0	N	3	N	N
1	37187340	0	BALO	SHARE-ATS	XRS1	2018-09-10 12:30:54.291	2	9.450000	1140	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-10 12:31:59.066	UK8GW3	192.168.252.2		136001	0	0	3	1027170	1140	0	0	0.000000	0.000000	0				0	229691555	0	N	3	N	N
1	37187340	0	BALO	SHARE-ATS	XRS1	2018-09-10 12:30:54.291	2	9.450000	6140	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-10 12:30:54.291	UK8GW3	192.168.252.2		136000	0	0	3	1027170	6140	0	0	0.000000	0.000000	0				0	229691056	0	N	3	N	N
1	37242491	0	BALO	SHARE-ATS	XRS1	2018-09-10 14:49:46.356	1	9.500000	113	1	20180910	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-10 14:49:46.356	UK8GW3	192.168.252.2		136087	0	0	3	1027170	113	0	0	0.000000	0.000000	0				0	229744968	0	N	3	N	N
0	37242491	0	BALO	SHARE-ATS	XRS1	2018-09-10 14:49:46.356	1	9.500000	113	1	20180910	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-10 15:03:36.067	UK8GW3	192.168.252.2		136088	0	0	3	1027170	113	0	0	0.000000	0.000000	4				0	229750083	0	N	3	N	N
0	37187340	0	BALO	SHARE-ATS	XRS1	2018-09-10 12:33:56.863	2	9.450000	2140	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-10 12:51:56.128	UK8GW3	192.168.252.2		136031	0	0	3	1027170	2140	0	0	0.000000	0.000000	4				0	229699691	0	N	3	N	N
1	37187340	0	BALO	SHARE-ATS	XRS1	2018-09-10 12:33:56.863	2	9.450000	2140	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-10 12:33:56.863	UK8GW3	192.168.252.2		136003	0	0	3	1027170	2140	0	0	0.000000	0.000000	0				0	229692343	0	N	3	N	N
1	37243234	0	BKDOWTS53	STR-PRD	RGSP	2018-09-10 17:03:19.151	1	3.180000	500	1	20180910	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-10 17:03:19.151	UK8GW3	192.168.252.2		136154	0	0	3	1031634	500	0	0	0.000000	0.000000	0				0	229826019	0	N	3	N	N
0	37241840	0	BNET	SHARE-ATS	XRS1	2018-09-10 14:08:51.885	1	1.105000	150	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-10 16:19:36.163	UK8GW3	192.168.252.2		136120	0	0	3	1031605	150	0	0	0.000000	0.000000	4				0	229779615	0	N	3	N	N
1	37241840	0	BNET	SHARE-ATS	XRS1	2018-09-10 12:36:06.213	1	1.125000	55	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-10 12:36:06.213	UK8GW3	192.168.252.2		136007	0	0	3	1031605	55	0	0	0.000000	0.000000	0				0	229693347	0	N	3	N	N
