STS	NMB	LNK	SYM	STY	MKT	EFT	SDE	PRC	SIZ	TRM	OPD	HDI	VER	DCV	TPA	TGP	BOK	ODT	IND	TRD	RGR	STD	STT	CLR	BRK	MBR	ACC	ACT	TOB	TOU	GRS	BNK	BKA	UTY	UTI	UUI	UWS	REF	CSQ	MKP	SSL	PRT	IAC	OQY	CQY	LQY	APX	LPX	OST	CLI	OCL	TXT	ROL	OSQ	IWF	IAL	EWF	EAL	DEA
1	37237931	0	ALR	SHARE	REGS	2018-09-07 13:24:30.138	1	3.080000	580	1	20180907	0	0	0	1	0.000000	1	1	0	16760194	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-07 13:24:30.139	UK8GW3	192.168.252.2		135836	0	0	3	1032797	1085	505	0	3.100000	0.000000	1				0	229253387	0	N	3	N	N
1	37237850	0	ALR	SHARE	REGS	2018-09-07 12:51:48.823	1	3.060000	1700	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-07 12:51:48.823	UK8GW3	192.168.252.2		135819	0	0	3	1027170	1700	0	0	0.000000	0.000000	0				0	229227327	0	N	3	N	N
1	37237850	0	ALR	SHARE	REGS	2018-09-07 12:52:45.371	1	3.080000	1700	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-07 12:52:45.371	UK8GW3	192.168.252.2		135820	0	0	3	1027170	1700	0	0	0.000000	0.000000	0				0	229228359	0	N	3	N	N
1	37237931	0	ALR	SHARE	REGS	2018-09-07 13:13:36.006	1	3.080000	580	1	20180907	0	0	0	1	0.000000	1	1	0	16760194	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-07 13:13:36.006	UK8GW3	192.168.252.2		135834	0	0	3	1032797	1085	505	0	3.100000	0.000000	1				0	229244677	0	N	3	N	N
1	37237931	0	ALR	SHARE	REGS	2018-09-07 13:21:38.082	1	3.100000	575	1	20180907	0	0	0	1	0.000000	1	1	0	16760194	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-07 13:21:38.082	UK8GW3	192.168.252.2		135835	0	0	3	1032797	1080	505	0	3.100000	0.000000	1				0	229251495	0	N	3	N	N
1	37237931	0	ALR	SHARE	REGS	2018-09-07 13:03:04.967	1	3.100000	900	1	20180907	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-07 13:03:04.967	UK8GW3	192.168.252.2		135825	0	0	3	1032797	900	0	0	0.000000	0.000000	0				0	229237853	0	N	3	N	N
1	37237931	0	ALR	SHARE	REGS	2018-09-07 13:03:04.967	1	3.100000	395	1	20180907	0	0	0	1	0.000000	1	1	0	16760194	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-07 13:08:55.977	UK8GW3	192.168.252.2		0	0	0	3	1032797	900	505	505	3.100000	3.100000	1				0	229241536	0	N	3	N	N
0	37237850	0	ALR	SHARE	REGS	2018-09-07 12:52:45.371	1	3.080000	1700	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			0	2018-09-07 13:08:54.48	UK8GW3	192.168.252.2		135828	0	0	3	1027170	1700	0	0	0.000000	0.000000	4				0	229241514	0	N	3	N	N
0	37237931	0	ALR	SHARE	REGS	2018-09-07 13:42:35.815	1	3.120000	560	1	20180907	0	0	0	1	0.000000	1	1	0	16760285	0	0	1	2	K8	K8	4848008	1			0			3	2018-09-07 13:42:35.816	UK8GW3	192.168.252.2		0	0	0	3	1032797	1065	1065	560	3.110516	3.120000	2				0	229265838	0	N	3	N	N
1	37237931	0	ALR	SHARE	REGS	2018-09-07 13:42:35.815	1	3.120000	560	1	20180907	0	0	0	1	0.000000	1	1	0	16760194	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-07 13:42:35.815	UK8GW3	192.168.252.2		135839	0	0	3	1032797	1065	505	0	3.100000	0.000000	1				0	229265837	0	N	3	N	N
1	37239352	0	ALU	SHARE	REGS	2018-09-07 17:52:05.032	1	0.720000	8870	2	0	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			1	2018-09-07 17:52:05.032	UK8GW3	192.168.252.2		135896	0	0	3	1027170	8870	0	0	0.000000	0.000000	0				0	229533779	0	N	3	N	N
1	37236816	0	ALU	SHARE	REGS	2018-09-07 11:20:56.028	2	0.730000	17500	1	20180907	0	0	0	1	0.000000	1	1	0	0	0	0	1	2	K8	K8	4848008	1			0			2	2018-09-07 11:20:56.029	UK8GW3	192.168.252.2		135759	0	0	3	1032797	17500	0	0	0.000000	0.000000	0				0	229159927	0	N	3	N	N
